0.163600,10.1886
0.091600,13.1074
0.039500,10.8272
0.026200,11.3753
0.042400,9.4007
0.029100,11.5953
0.018700,12.3822
0.038700,8.8194
0.021200,10.1921
0.023200,9.0113
0.023800,14.1993
0.029700,12.3708
0.057400,12.2695
0.049500,14.7103
0.043100,12.0747
0.042000,15.1210
0.032400,13.3781
0.040100,10.5746
0.030200,12.6316
0.019000,11.8600
0.022100,11.2225
0.036800,11.9607
0.031500,11.2303
0.020600,11.7979
0.053800,9.5977
0.031200,10.6210
0.052500,11.0048
0.033600,10.8649
0.020300,8.6058
0.026200,11.0070
0.032900,10.1999
0.034100,10.9328
0.018600,9.2477
0.027100,10.4328
0.015200,10.6855
0.035200,11.0921
0.020900,11.4905
0.055400,9.7264
0.021900,13.5853
0.019700,9.7073
0.025300,11.1066
0.045700,10.5295
0.044200,11.8589
0.047600,9.0793
0.021800,11.6321
0.021100,10.2155
0.040000,11.8660
0.019500,10.7865
0.036200,9.3252
0.027700,13.1270
0.035900,8.8453
0.027300,9.8420
0.061600,8.3832
0.033400,11.4128
0.043800,9.3826
0.025300,10.6082
0.037600,9.3877
0.037200,11.3012
0.019700,8.6100
0.024700,11.1960
0.062700,9.2885
0.039400,12.3150
0.019900,8.5210
0.046200,10.7594
0.046400,9.2782
0.028900,12.3448
0.029200,8.6341
0.027400,10.3830
0.018500,9.0099
0.019700,11.4042
0.018200,9.5543
0.028100,9.7326
0.023300,10.1023
0.017900,13.4744
0.025500,8.1598
0.034900,11.3462
0.021700,10.3525
0.019200,12.0596
0.021600,10.5735
0.020200,9.3979
0.022100,10.9302
0.039100,11.1713
0.027700,10.6184
0.028100,9.9094
0.025500,11.9939
0.021000,10.3872
0.033500,10.6977
0.021700,10.9686
0.018200,10.6212
0.017900,10.5922
0.022100,11.2452
0.030900,9.9563
0.025100,11.5544
0.031200,12.2357
0.023400,8.8748
0.025600,10.9141
0.026000,10.6433
0.031500,11.3158
0.029200,10.5666
0.026900,11.6514
0.018900,10.8545
0.020700,10.7027
0.025000,9.6033
0.025300,11.3299
0.049000,11.2968
0.020200,9.2382
0.034400,10.7674
0.017400,9.9179
0.031100,11.4672
0.022000,10.3582
0.029200,10.0123
0.021000,10.4929
0.019900,12.2077
0.018600,9.5506
0.050100,11.5763
0.021300,11.3936
0.021100,11.2010
0.020000,9.9916
0.031400,10.9230
0.027600,12.4043
0.021100,9.1093
0.027300,11.2914
0.022900,9.7530
0.024100,11.9091
0.017500,9.9070
0.027200,10.6444
0.024800,9.9589
0.027100,11.8915
0.019200,8.9212
0.026700,11.7737
0.023200,9.6008
0.028700,11.9143
0.018100,8.7988
0.023000,9.9208
0.022600,10.9068
0.020800,11.7693
0.024700,10.6953
0.020900,9.9315
0.020000,10.4682
0.018800,10.1153
0.024900,10.7172
0.018600,9.8071
0.026700,11.7734
0.020400,9.9431
0.038900,11.4240
0.022600,10.9690
0.037000,10.5379
0.031600,10.5258
0.027600,11.5769
0.020600,9.3106
0.020600,11.4146
0.022300,10.7678
0.023500,9.6895
0.027900,11.4679
0.027200,10.2973
0.037000,12.2789
0.019500,9.3551
0.035900,11.9042
0.030400,11.5516
0.021100,10.6720
0.020000,8.6353
0.027000,10.9782
0.018200,10.4613
0.029000,10.0348
0.021500,11.1788
0.028800,11.5110
0.025000,11.9317
0.024500,8.7490
0.025800,11.1343
0.020900,9.5112
0.032800,11.6806
0.017200,9.4842
0.031000,11.1378
0.027500,10.9649
