0,316.743300
1,316.852300
2,316.963300
3,317.119700
4,317.261000
5,317.404900
6,317.549300
7,317.698000
8,317.845900
9,317.997700
10,318.146200
11,318.293000
12,318.441000
13,318.594500
14,318.742400
15,318.889700
16,319.033800
17,319.175800
18,319.332000
19,319.482300
20,319.619800
21,319.769900
22,319.923300
23,320.060900
24,320.205200
25,320.351300
26,320.496000
27,320.641100
28,320.786500
29,320.925100
30,321.064700
31,321.201300
32,321.341200
33,321.480100
34,321.619000
35,321.763800
36,321.905600
37,322.048600
38,322.190200
39,322.332000
40,322.474200
41,322.617700
42,322.759300
43,322.898300
44,323.036900
45,323.184600
46,323.319100
47,323.456800
48,323.602700
49,323.747200
50,323.885800
51,324.025200
52,324.167400
53,324.307000
54,324.446500
55,324.586200
56,324.723300
57,324.862100
58,325.000900
59,325.138800
60,325.278100
61,325.418800
62,325.562300
63,325.707600
64,325.851400
65,325.999200
66,326.140100
