0,294.302200
1,294.404100
2,294.536700
3,294.690100
4,294.851100
5,295.000600
6,295.142900
7,295.293600
8,295.436600
9,295.576800
10,295.726900
11,295.891300
12,296.055300
13,296.203300
14,296.363100
15,296.501700
16,296.644400
17,296.793000
18,296.944400
19,297.122500
20,297.253700
21,297.394200
22,297.545800
23,297.690200
24,297.841100
25,297.982600
26,298.145100
27,298.280000
28,298.429400
29,298.573000
30,298.722700
31,298.866100
32,299.017000
33,299.158400
34,299.300400
35,299.445500
36,299.588300
37,299.734200
38,299.882200
39,300.024400
40,300.166300
41,300.312300
42,300.457800
43,300.603300
