2.015900,15.5936
1.846500,18.1482
1.658200,18.3850
1.615400,17.1659
1.832000,19.1275
1.618400,19.8163
2.109000,22.0047
1.732700,19.6675
2.125400,20.4954
1.572900,17.9197
1.713800,18.4895
1.963100,16.6037
2.063000,18.8042
1.792300,16.5804
2.046500,18.7270
1.910900,16.8955
1.740700,15.0124
1.934200,17.2916
5.714000,16.5121
1.976700,24.1176
1.849500,20.9893
1.976400,21.7094
1.703200,20.5470
1.739800,21.3497
1.720400,18.0783
1.645600,19.2889
1.671700,19.0022
1.674700,19.0901
1.873200,16.9451
1.742700,20.3816
1.764100,16.8017
0.676300,16.7860
